COUNTRY,ELECTR
AUSTRALI,199436
BELGIUM,93642
AUSTRIA,63231
CANADA,543647
CHILE,29828
CZECH,52998
DENMARK,37623
ESTONIA,5833
FINLAND,74094
FRANCE,520466
GERMANY,508772
GREECE,60761
HUNGARY,40021
ICELAND,2484
IRELAND,27048
ISRAEL,49397
ITALY,241099
JAPAN,1019271
KOREA,183179
LUXEMBOU,3043
MEXICO,153139
NETHLAND,87251
NZ,43726
NORWAY,122444
POLAND,90927
PORTUGAL,47680
SLOVAKIA,16927
SLOVENIA,10626
SPAIN,225343
SWEDEN,153614
SWITLAND,63461
TURKEY,111386
UK,452641
USA,4894098
OECDTOT,10229139
OECDAM,5620712
OECDAO,1495011
OECDEUR,3113416
IEATOT,9977831
WORLD,15181646
OECDTOT,10229139
AFRICA,497826
ASIA,1137056
CHINAREG,1052934
LATAMER,672169
MIDEAST,742684
EURASIA,849839
WORLDMAR,0
WORLDAV,0
ALBANIA,9841
ALGERIA,62388
ANGOLA,4929
ARGENTIN,87499
ARMENIA,6204
AZERBAIJ,40518
BAHRAIN,15515
BANGLADE,30710
BELARUS,21456
BENIN,1015
BOLIVIA,6326
BOSNIAHE,14629
BOTSWANA,2031
BRAZIL,299549
BRUNEI,1419
BULGARIA,32571
CAMBODIA,1375
CAMEROON,1865
CHINA,1017115
TAIPEI,152329
COLOMBIA,58525
CONGO,645
CONGOREP,5624
COSTARIC,11014
COTEIVOI,3475
CROATIA,22803
CUBA,18313
CYPRUS,5160
DOMINICA,15184
ECUADOR,13326
EGYPT,122062
ELSALVAD,5527
ERITREA,353
ETHIOPIA,2769
GABON,2193
GEORGIA,10662
GHANA,7151
GIBRALTA,0
GUATEMAL,6233
HAITI,385
HONDURAS,6348
HONGKONG,35819
INDIA,360389
INDONESI,148289
IRAN,158817
IRAQ,47457
JAMAICA,3986
JORDAN,11468
KAZAKHST,28953
KENYA,4296
KOREADPR,0
KUWAIT,69082
KYRGYZST,10618
LATVIA,5660
LEBANON,15494
LIBYA,25500
LITHUANI,7785
FYROM,10755
MALAYSIA,58406
MALTA,2243
MOLDOVA,6085
MONGOLIA,2556
MOROCCO,20027
MOZAMBIQ,1919
MYANMAR,5268
NAMIBIA,0
NEPAL,2967
NANTILLE,0
NICARAGU,2132
NIGERIA,37094
OMAN,17135
PAKISTAN,110612
PANAMA,5387
PARAGUAY,11310
PERU,25219
PHILIPPI,57722
QATAR,11086
ROMANIA,33248
RUSSIA,392165
SAUDIARA,281945
SENEGAL,2484
SERBIA,51097
SINGAPOR,24304
SOUTHAFR,133116
SRILANKA,8652
SUDAN,5541
SYRIA,39582
TAJIKIST,11389
TANZANIA,3241
THAILAND,92223
TOGO,1145
TRINIDAD,5739
TUNISIA,10280
TURKMENI,5639
UKRAINE,93847
UAE,67901
URUGUAY,9700
UZBEKIST,26512
VENEZUEL,67239
VIETNAM,70087
YEMEN,7201
ZAMBIA,5527
ZIMBABWE,12462
FSUND,0
YUGOND,0
OTHERAFR,18695
OTHERLAT,13229
OTHERASI,9747
NOECDTOT,4952508
EU27,2900308
OPEC12,846764
MFSU15,673325
MYUGO,109910